Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"03552541", 12, 3,    6928.55,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552534", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552534A", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552535", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552536", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552537A", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552538", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552540", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552539", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552541A", 12, 3,    6928.55,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552542", 12, 3,    6928.55,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552543", 12, 3,    6928.55,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552544", 12, 3,    6928.55,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552546", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001
"03552547", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001
"03552553", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001
"03552547A", 12, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552548", 12, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552549", 12, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552550", 12, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552551", 12, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552552", 12, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552571", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.67, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001
"03552553A", 12, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0
"03552554", 12, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0
"03552555", 12, 2,    6928.67, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0
"03552561", 12, 2,    6928.67, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0
"03552569", 12, 2,    6928.67, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0
"03552555A", 12, 2,    6928.67, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552556", 12, 2,    6928.67, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552557", 12, 2,    6928.67, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552558", 12, 2,    6928.67, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552559", 12, 2,    6928.67, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552560", 12, 2,    6928.67, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552562", 12, 2,    6928.67, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001, 0, 0, 0, 0
